(0.000, 0.000) --- ActiveFlash-0 [init] None
(0.000, 0.000) --- ActiveFlash-2 [init] None
(0.000, 0.000) --- Host-0 [init] None
(0.000, 0.000) --- ActiveFS [init] None
(0.000, 0.000) --- ActiveFlash-1 [init] None
(0.000, 0.000) --- ActiveFlash-3 [init] None
(0.000, 0.224) --- Host-0 [task] ID00036-Patser (1.404 sec) execution
(0.000, 1.211) --- ActiveFS [transfer] ID00048-RNAMotif(-1) transfers [('NC_0025AG05.fna', 5710577, 2), ('RNAMofficial_descriptor.txt', 17626, 2)]
(0.000, 1.211) --- ActiveFS [transfer] ID00019-RNAMotif(-1) transfers [('NC_0025AG05.fna', 5710577, 2), ('RNAMofficial_descriptor.txt', 17626, 2)]
(0.000, 1.212) --- ActiveFS [transfer] ID00018-Findterm(-1) transfers [('NC_0025AG05.fna', 5710577, 2), ('RNAfold', 591942, 3)]
(0.000, 1.212) --- ActiveFS [transfer] ID00047-Findterm(-1) transfers [('NC_0025AG05.fna', 5710577, 2), ('RNAfold', 591942, 3)]
(0.000, 1.812) --- ActiveFS [transfer] ID00020-Transterm(-1) transfers [('NC_0025AG05.fna', 5710577, 2), ('expterm.dat', 45788, 3), ('NC_0025AG05.ptt', 352445, 0)]
(0.000, 1.812) --- ActiveFS [transfer] ID00049-Transterm(-1) transfers [('NC_0025AG05.fna', 5710577, 2), ('expterm.dat', 45788, 3), ('NC_0025AG05.ptt', 352445, 0)]
(0.000, 2.411) --- ActiveFS [transfer] ID00010-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00010_matrix.txt', 170917, 0)]
(0.000, 2.411) --- ActiveFS [transfer] ID00002-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00002_matrix.txt', 170917, 0)]
(0.000, 2.411) --- ActiveFS [transfer] ID00041-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00041_matrix.txt', 170917, 3)]
(0.000, 2.411) --- ActiveFS [transfer] ID00037-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00037_matrix.txt', 170917, 3)]
(0.000, 2.411) --- ActiveFS [transfer] ID00038-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00038_matrix.txt', 170917, 0)]
(0.000, 2.411) --- ActiveFS [transfer] ID00005-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00005_matrix.txt', 170917, 3)]
(0.000, 2.411) --- ActiveFS [transfer] ID00034-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00034_matrix.txt', 170917, 0)]
(0.000, 2.411) --- ActiveFS [transfer] ID00035-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00035_matrix.txt', 170917, 1)]
(0.000, 2.411) --- ActiveFS [transfer] ID00015-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00015_matrix.txt', 170917, 1)]
(0.000, 2.411) --- ActiveFS [transfer] ID00039-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00039_matrix.txt', 170917, 1)]
(0.000, 2.411) --- ActiveFS [transfer] ID00046-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00046_matrix.txt', 170917, 0)]
(0.000, 2.411) --- ActiveFS [transfer] ID00006-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00006_matrix.txt', 170917, 0)]
(0.000, 2.411) --- ActiveFS [transfer] ID00007-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00007_matrix.txt', 170917, 1)]
(0.000, 2.411) --- ActiveFS [transfer] ID00044-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00044_matrix.txt', 170917, 2)]
(0.000, 2.411) --- ActiveFS [transfer] ID00008-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00008_matrix.txt', 170917, 2)]
(0.000, 2.411) --- ActiveFS [transfer] ID00040-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00040_matrix.txt', 170917, 2)]
(0.000, 2.411) --- ActiveFS [transfer] ID00009-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00009_matrix.txt', 170917, 3)]
(0.000, 2.411) --- ActiveFS [transfer] ID00031-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 5710577, 2), ('alphabet', 16, 3), ('ID00031_matrix.txt', 170917, 1)]
