(0.000, 0.000) --- ActiveFlash-0 [init] None
(0.000, 0.000) --- ActiveFS [init] None
(0.000, 0.000) --- ActiveFlash-1 [init] None
(0.000, 0.000) --- Host-0 [init] None
(0.000, 0.766) --- Host-0 [task] ID00036-Patser (1.537 sec) execution
(0.000, 1.260) --- ActiveFS [transfer] ID00048-RNAMotif(-1) transfers [('NC_0025AG05.fna', 7717855, 0), ('RNAMofficial_descriptor.txt', 17626, 0)]
(0.000, 1.260) --- ActiveFS [transfer] ID00018-RNAMotif(-1) transfers [('NC_0025AG05.fna', 7717855, 0), ('RNAMofficial_descriptor.txt', 17626, 0)]
(0.000, 1.265) --- ActiveFS [transfer] ID00017-Findterm(-1) transfers [('NC_0025AG05.fna', 7717855, 0), ('RNAfold', 591942, 1)]
(0.000, 1.265) --- ActiveFS [transfer] ID00047-Findterm(-1) transfers [('NC_0025AG05.fna', 7717855, 0), ('RNAfold', 591942, 1)]
(0.000, 1.863) --- ActiveFS [transfer] ID00049-Transterm(-1) transfers [('NC_0025AG05.fna', 7717855, 0), ('expterm.dat', 45788, 1), ('NC_0025AG05.ptt', 321096, 0)]
(0.000, 1.863) --- ActiveFS [transfer] ID00019-Transterm(-1) transfers [('NC_0025AG05.fna', 7717855, 0), ('expterm.dat', 45788, 1), ('NC_0025AG05.ptt', 321096, 0)]
(0.000, 2.461) --- ActiveFS [transfer] ID00005-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00005_matrix.txt', 170917, 1)]
(0.000, 2.461) --- ActiveFS [transfer] ID00030-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00030_matrix.txt', 170917, 0)]
(0.000, 2.461) --- ActiveFS [transfer] ID00037-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00037_matrix.txt', 170917, 1)]
(0.000, 2.461) --- ActiveFS [transfer] ID00038-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00038_matrix.txt', 170917, 0)]
(0.000, 2.461) --- ActiveFS [transfer] ID00034-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00034_matrix.txt', 170917, 0)]
(0.000, 2.461) --- ActiveFS [transfer] ID00042-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00042_matrix.txt', 170917, 0)]
(0.000, 2.461) --- ActiveFS [transfer] ID00016-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00016_matrix.txt', 170917, 0)]
(0.000, 2.461) --- ActiveFS [transfer] ID00035-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00035_matrix.txt', 170917, 1)]
(0.000, 2.461) --- ActiveFS [transfer] ID00015-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00015_matrix.txt', 170917, 1)]
(0.000, 2.461) --- ActiveFS [transfer] ID00001-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00001_matrix.txt', 170917, 1)]
(0.000, 2.461) --- ActiveFS [transfer] ID00007-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00007_matrix.txt', 170917, 1)]
(0.000, 2.461) --- ActiveFS [transfer] ID00046-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00046_matrix.txt', 170917, 0)]
(0.000, 2.461) --- ActiveFS [transfer] ID00012-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00012_matrix.txt', 170917, 0)]
(0.000, 2.461) --- ActiveFS [transfer] ID00006-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00006_matrix.txt', 170917, 0)]
(0.000, 2.461) --- ActiveFS [transfer] ID00044-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00044_matrix.txt', 170917, 0)]
(0.000, 2.461) --- ActiveFS [transfer] ID00008-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00008_matrix.txt', 170917, 0)]
(0.000, 2.461) --- ActiveFS [transfer] ID00011-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00011_matrix.txt', 170917, 1)]
(0.000, 2.461) --- ActiveFS [transfer] ID00041-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00041_matrix.txt', 170917, 1)]
(0.000, 2.461) --- ActiveFS [transfer] ID00014-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00014_matrix.txt', 170917, 0)]
(0.000, 2.461) --- ActiveFS [transfer] ID00009-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00009_matrix.txt', 170917, 1)]
(0.000, 2.461) --- ActiveFS [transfer] ID00013-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00013_matrix.txt', 170917, 1)]
(0.000, 2.461) --- ActiveFS [transfer] ID00033-Patser(-1) transfers [('patser.in', 14, 1), ('NC_0025AG05.fna', 7717855, 0), ('alphabet', 16, 1), ('ID00033_matrix.txt', 170917, 1)]
