(0.000, 0.000) --- ActiveFlash-0 [init] None
(0.000, 0.000) --- ActiveFlash-2 [init] None
(0.000, 0.000) --- ActiveFS [init] None
(0.000, 0.000) --- ActiveFlash-1 [init] None
(0.000, 0.000) --- ActiveFlash-3 [init] None
(0.000, 1.200) --- ActiveFS [transfer] ID00040-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3)]
(0.000, 1.200) --- ActiveFS [transfer] ID00044-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3)]
(0.000, 1.200) --- ActiveFS [transfer] ID00004-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3)]
(0.000, 1.200) --- ActiveFS [transfer] ID00008-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3)]
(0.000, 1.200) --- ActiveFS [transfer] ID00032-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3)]
(0.000, 1.200) --- ActiveFS [transfer] ID00012-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3)]
(0.000, 1.200) --- ActiveFS [transfer] ID00016-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3)]
(0.000, 1.200) --- ActiveFS [transfer] ID00036-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3)]
(0.000, 1.203) --- ActiveFS [transfer] ID00020-Transterm(2) transfers [('expterm.dat', 45788, 3), ('NC_0025AG05.ptt', 352445, 0)]
(0.000, 1.203) --- ActiveFS [transfer] ID00049-Transterm(2) transfers [('expterm.dat', 45788, 3), ('NC_0025AG05.ptt', 352445, 0)]
(0.000, 1.801) --- ActiveFS [transfer] ID00015-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00015_matrix.txt', 170917, 1)]
(0.000, 1.801) --- ActiveFS [transfer] ID00031-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00031_matrix.txt', 170917, 1)]
(0.000, 1.801) --- ActiveFS [transfer] ID00034-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00034_matrix.txt', 170917, 0)]
(0.000, 1.801) --- ActiveFS [transfer] ID00005-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00005_matrix.txt', 170917, 3)]
(0.000, 1.801) --- ActiveFS [transfer] ID00041-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00041_matrix.txt', 170917, 3)]
(0.000, 1.801) --- ActiveFS [transfer] ID00039-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00039_matrix.txt', 170917, 1)]
(0.000, 1.801) --- ActiveFS [transfer] ID00046-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00046_matrix.txt', 170917, 0)]
(0.000, 1.801) --- ActiveFS [transfer] ID00006-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00006_matrix.txt', 170917, 0)]
(0.000, 1.801) --- ActiveFS [transfer] ID00045-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00045_matrix.txt', 170917, 3)]
(0.000, 1.801) --- ActiveFS [transfer] ID00009-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00009_matrix.txt', 170917, 3)]
(0.000, 1.801) --- ActiveFS [transfer] ID00007-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00007_matrix.txt', 170917, 1)]
(0.000, 1.801) --- ActiveFS [transfer] ID00033-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00033_matrix.txt', 170917, 3)]
(0.000, 1.801) --- ActiveFS [transfer] ID00035-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00035_matrix.txt', 170917, 1)]
(0.000, 1.801) --- ActiveFS [transfer] ID00002-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00002_matrix.txt', 170917, 0)]
(0.000, 1.801) --- ActiveFS [transfer] ID00011-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00011_matrix.txt', 170917, 1)]
(0.000, 1.801) --- ActiveFS [transfer] ID00037-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00037_matrix.txt', 170917, 3)]
(0.000, 1.801) --- ActiveFS [transfer] ID00003-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00003_matrix.txt', 170917, 1)]
(0.000, 1.801) --- ActiveFS [transfer] ID00042-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00042_matrix.txt', 170917, 0)]
(0.000, 1.801) --- ActiveFS [transfer] ID00001-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00001_matrix.txt', 170917, 3)]
(0.000, 1.801) --- ActiveFS [transfer] ID00014-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00014_matrix.txt', 170917, 0)]
(0.000, 1.801) --- ActiveFS [transfer] ID00038-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00038_matrix.txt', 170917, 0)]
(0.000, 1.801) --- ActiveFS [transfer] ID00030-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00030_matrix.txt', 170917, 0)]
(0.000, 1.801) --- ActiveFS [transfer] ID00010-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00010_matrix.txt', 170917, 0)]
(0.000, 1.801) --- ActiveFS [transfer] ID00043-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00043_matrix.txt', 170917, 1)]
(0.000, 1.801) --- ActiveFS [transfer] ID00017-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00017_matrix.txt', 170917, 3)]
(0.000, 1.801) --- ActiveFS [transfer] ID00013-Patser(2) transfers [('patser.in', 14, 1), ('alphabet', 16, 3), ('ID00013_matrix.txt', 170917, 3)]
(0.000, 1.814) --- ActiveFS [transfer] ID00047-Findterm(2) transfers [('RNAfold', 591942, 3)]
(0.000, 1.814) --- ActiveFS [transfer] ID00018-Findterm(2) transfers [('RNAfold', 591942, 3)]
(0.000, 39.054) --- ActiveFlash-2 [task] ID00048-RNAMotif (39.054 sec) execution
(39.054, 73.782) --- ActiveFlash-2 [task] ID00019-RNAMotif (34.728 sec) execution
(73.782, 75.186) --- ActiveFlash-2 [task] ID00036-Patser (1.404 sec) execution
(75.186, 76.194) --- ActiveFlash-2 [task] ID00032-Patser (1.008 sec) execution
(76.194, 77.036) --- ActiveFlash-2 [task] ID00012-Patser (0.842 sec) execution
(77.036, 78.540) --- ActiveFlash-2 [task] ID00040-Patser (1.504 sec) execution
(78.540, 79.721) --- ActiveFlash-2 [task] ID00016-Patser (1.181 sec) execution
(79.721, 81.049) --- ActiveFlash-2 [task] ID00004-Patser (1.327 sec) execution
(81.049, 82.636) --- ActiveFlash-2 [task] ID00008-Patser (1.587 sec) execution
(82.636, 84.133) --- ActiveFlash-2 [task] ID00044-Patser (1.498 sec) execution
(84.133, 142.669) --- ActiveFlash-2 [task] ID00020-Transterm (58.536 sec) execution
(142.669, 180.705) --- ActiveFlash-2 [task] ID00049-Transterm (38.035 sec) execution
(180.705, 181.800) --- ActiveFlash-2 [task] ID00015-Patser (1.096 sec) execution
(181.800, 183.168) --- ActiveFlash-2 [task] ID00031-Patser (1.367 sec) execution
(183.168, 183.983) --- ActiveFlash-2 [task] ID00034-Patser (0.815 sec) execution
(183.983, 185.635) --- ActiveFlash-2 [task] ID00005-Patser (1.652 sec) execution
(185.635, 186.663) --- ActiveFlash-2 [task] ID00041-Patser (1.027 sec) execution
(186.663, 187.519) --- ActiveFlash-2 [task] ID00039-Patser (0.856 sec) execution
(187.519, 188.670) --- ActiveFlash-2 [task] ID00046-Patser (1.151 sec) execution
(188.670, 190.021) --- ActiveFlash-2 [task] ID00006-Patser (1.351 sec) execution
(190.021, 190.869) --- ActiveFlash-2 [task] ID00045-Patser (0.848 sec) execution
(190.869, 192.413) --- ActiveFlash-2 [task] ID00009-Patser (1.544 sec) execution
(192.413, 193.800) --- ActiveFlash-2 [task] ID00007-Patser (1.388 sec) execution
(193.800, 194.685) --- ActiveFlash-2 [task] ID00033-Patser (0.885 sec) execution
(194.685, 195.829) --- ActiveFlash-2 [task] ID00035-Patser (1.144 sec) execution
(195.829, 196.996) --- ActiveFlash-2 [task] ID00002-Patser (1.167 sec) execution
(196.996, 198.232) --- ActiveFlash-2 [task] ID00011-Patser (1.236 sec) execution
(198.232, 199.613) --- ActiveFlash-2 [task] ID00037-Patser (1.381 sec) execution
(199.613, 200.986) --- ActiveFlash-2 [task] ID00003-Patser (1.373 sec) execution
(200.986, 202.610) --- ActiveFlash-2 [task] ID00042-Patser (1.624 sec) execution
(202.610, 203.934) --- ActiveFlash-2 [task] ID00001-Patser (1.323 sec) execution
(203.934, 204.715) --- ActiveFlash-2 [task] ID00014-Patser (0.781 sec) execution
(204.715, 205.586) --- ActiveFlash-2 [task] ID00038-Patser (0.871 sec) execution
(205.586, 207.311) --- ActiveFlash-2 [task] ID00030-Patser (1.725 sec) execution
(207.311, 208.819) --- ActiveFlash-2 [task] ID00010-Patser (1.508 sec) execution
(208.819, 210.656) --- ActiveFlash-2 [task] ID00043-Patser (1.837 sec) execution
(210.656, 211.623) --- ActiveFlash-2 [task] ID00017-Patser (0.967 sec) execution
(211.623, 212.948) --- ActiveFlash-2 [task] ID00013-Patser (1.325 sec) execution
