(0.000, 0.000) --- ActiveFlash-0 [init] None
(0.000, 0.000) --- ActiveFlash-1 [init] None
(0.000, 0.000) --- ActiveFS [init] None
(0.000, 1.200) --- ActiveFS [transfer] ID00063-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00011-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00055-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00059-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00025-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00009-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00007-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00029-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00003-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00031-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00037-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00053-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00001-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00035-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00057-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00005-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00051-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00027-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00065-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00033-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.200) --- ActiveFS [transfer] ID00061-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00054-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00054_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00062-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00062_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00010-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00010_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00012-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00012_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00004-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00004_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00038-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00038_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00030-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00030_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00034-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00034_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00052-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00052_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00006-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00006_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00002-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00002_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00060-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00060_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00028-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00028_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00008-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00008_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00064-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00064_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00032-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00032_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00058-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00058_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00056-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00056_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00036-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00036_matrix.txt', 170917, 0)]
(0.000, 1.803) --- ActiveFS [transfer] ID00026-Patser(1) transfers [('patser.in', 14, 0), ('alphabet', 16, 0), ('ID00026_matrix.txt', 170917, 0)]
(0.000, 2.404) --- ActiveFS [transfer] ID00015-Transterm(1) transfers [('expterm.dat', 45788, 0)]
(0.000, 2.404) --- ActiveFS [transfer] ID00041-Transterm(1) transfers [('expterm.dat', 45788, 0)]
(0.000, 2.404) --- ActiveFS [transfer] ID00068-Transterm(1) transfers [('expterm.dat', 45788, 0)]
(0.000, 2.446) --- ActiveFS [transfer] ID00066-Findterm(1) transfers [('RNAfold', 591942, 0)]
(0.000, 2.446) --- ActiveFS [transfer] ID00039-Findterm(1) transfers [('RNAfold', 591942, 0)]
(0.000, 2.446) --- ActiveFS [transfer] ID00013-Findterm(1) transfers [('RNAfold', 591942, 0)]
(0.000, 37.804) --- ActiveFlash-1 [task] ID00014-RNAMotif (37.804 sec) execution
(37.804, 74.815) --- ActiveFlash-1 [task] ID00040-RNAMotif (37.011 sec) execution
(74.815, 109.310) --- ActiveFlash-1 [task] ID00067-RNAMotif (34.495 sec) execution
(109.310, 110.193) --- ActiveFlash-1 [task] ID00025-Patser (0.882 sec) execution
(110.193, 111.880) --- ActiveFlash-1 [task] ID00011-Patser (1.687 sec) execution
(111.880, 113.396) --- ActiveFlash-1 [task] ID00033-Patser (1.516 sec) execution
(113.396, 114.467) --- ActiveFlash-1 [task] ID00063-Patser (1.071 sec) execution
(114.467, 115.887) --- ActiveFlash-1 [task] ID00051-Patser (1.421 sec) execution
(115.887, 117.467) --- ActiveFlash-1 [task] ID00053-Patser (1.579 sec) execution
(117.467, 118.684) --- ActiveFlash-1 [task] ID00055-Patser (1.218 sec) execution
(118.684, 119.769) --- ActiveFlash-1 [task] ID00061-Patser (1.085 sec) execution
(119.769, 121.182) --- ActiveFlash-1 [task] ID00027-Patser (1.413 sec) execution
(121.182, 122.401) --- ActiveFlash-1 [task] ID00057-Patser (1.220 sec) execution
(122.401, 123.291) --- ActiveFlash-1 [task] ID00001-Patser (0.890 sec) execution
(123.291, 124.050) --- ActiveFlash-1 [task] ID00003-Patser (0.758 sec) execution
(124.050, 125.189) --- ActiveFlash-1 [task] ID00031-Patser (1.140 sec) execution
(125.189, 126.963) --- ActiveFlash-1 [task] ID00059-Patser (1.773 sec) execution
(126.963, 127.697) --- ActiveFlash-1 [task] ID00029-Patser (0.735 sec) execution
(127.697, 129.084) --- ActiveFlash-1 [task] ID00065-Patser (1.387 sec) execution
(129.084, 130.574) --- ActiveFlash-1 [task] ID00005-Patser (1.490 sec) execution
(130.574, 131.401) --- ActiveFlash-1 [task] ID00035-Patser (0.827 sec) execution
(131.401, 132.874) --- ActiveFlash-1 [task] ID00037-Patser (1.474 sec) execution
(132.874, 133.757) --- ActiveFlash-1 [task] ID00007-Patser (0.883 sec) execution
(133.757, 135.608) --- ActiveFlash-1 [task] ID00009-Patser (1.851 sec) execution
(135.608, 136.755) --- ActiveFlash-1 [task] ID00054-Patser (1.147 sec) execution
(136.755, 138.360) --- ActiveFlash-1 [task] ID00062-Patser (1.605 sec) execution
(138.360, 139.673) --- ActiveFlash-1 [task] ID00010-Patser (1.313 sec) execution
(139.673, 141.471) --- ActiveFlash-1 [task] ID00012-Patser (1.798 sec) execution
(141.471, 143.019) --- ActiveFlash-1 [task] ID00004-Patser (1.549 sec) execution
(143.019, 144.734) --- ActiveFlash-1 [task] ID00038-Patser (1.715 sec) execution
(144.734, 145.921) --- ActiveFlash-1 [task] ID00030-Patser (1.187 sec) execution
(145.921, 146.917) --- ActiveFlash-1 [task] ID00034-Patser (0.996 sec) execution
(146.917, 148.726) --- ActiveFlash-1 [task] ID00052-Patser (1.809 sec) execution
(148.726, 149.835) --- ActiveFlash-1 [task] ID00006-Patser (1.109 sec) execution
(149.835, 150.526) --- ActiveFlash-1 [task] ID00002-Patser (0.692 sec) execution
(150.526, 151.578) --- ActiveFlash-1 [task] ID00060-Patser (1.052 sec) execution
(151.578, 152.583) --- ActiveFlash-1 [task] ID00028-Patser (1.004 sec) execution
(152.583, 153.552) --- ActiveFlash-1 [task] ID00008-Patser (0.969 sec) execution
(153.552, 154.647) --- ActiveFlash-1 [task] ID00064-Patser (1.095 sec) execution
(154.647, 155.328) --- ActiveFlash-1 [task] ID00032-Patser (0.681 sec) execution
(155.328, 156.704) --- ActiveFlash-1 [task] ID00058-Patser (1.376 sec) execution
(156.704, 157.772) --- ActiveFlash-1 [task] ID00056-Patser (1.068 sec) execution
(157.772, 158.894) --- ActiveFlash-1 [task] ID00036-Patser (1.122 sec) execution
(158.894, 160.113) --- ActiveFlash-1 [task] ID00026-Patser (1.219 sec) execution
(160.113, 227.788) --- ActiveFlash-1 [task] ID00068-Transterm (67.675 sec) execution
